Bid Item Category,Bid Item Num,Bid Item Number,Bid Item Description,Quantity,UOM,
203,00310,203-00310,Borrow (Complete In Place),0,TON,!B232
203,00400,203-00400,Rock Excavation,0,CY,!B233
203,00405,203-00405,Rock Excavation (Haul),0,CY,!B234
203,00440,203-00440,Rock Excavation (Special),0,CY,!B235
203,00450,203-00450,Rock Removal,0,EACH,!B236
203,00500,203-00500,Rock Fill,0,CY,!B237
203,00505,203-00505,Rock Fill (Haul),0,CY,!B238
203,00510,203-00510,Rock Fill (Special),0,CY,!B239
203,00555,203-00555,Rock Fill (Haul),0,TON,!B240
203,00590,203-00590,Rock Placement,0,CY,!B241
203,00592,203-00592,Rock Staining,0,SF,!B242
203,00595,203-00595,Rock Scaling,0,SY,!B243
203,00596,203-00596,Rock Scaling,0,L S,!B244
203,00598,203-00598,Rock Scaling,0,HOUR,!B245
203,00599,203-00599,Rock Scaler,0,HOUR,!B246
203,00600,203-00600,Stripping,0,CY,!B247
203,00605,203-00605,Stripping (Haul),0,CY,!B248
203,00700,203-00700,Reclaim Pit,0,EACH,!B249
203,00705,203-00705,Access Pit,0,EACH,!B250
203,00710,203-00710,Clay Plating (Complete In Place),0,CY,!B251
203,00810,203-00810,Sawdust Fill (Complete In Place),0,CY,!B252
203,00840,203-00840,Expanded Polystyrene Fill,0,CY,!B253
203,00850,203-00850,Expanded Polystyrene Fill (Complete In Place),0,CY,!B254
203,00875,203-00875,Place Shredded Tire Fill (Complete In Place),0,CY,!B255
203,00900,203-00900,Contaminated Soil Excavation,0,CY,!B256
203,00910,203-00910,Contaminated Soil Excavation and Disposal (Off-Site),0,CY,!B257
203,01020,203-01020,Compaction (AASHTO T 99),0,CY,!B258
203,01030,203-01030,Compaction (AASHTO T 180),0,CY,!B259
203,01040,203-01040,Trench Compaction,0,SY,!B260
203,01050,203-01050,Dynamic Deep Compaction,0,CY,!B261
203,01055,203-01055,Dynamic Deep Compaction,0,SY,!B262
203,01100,203-01100,Proof Rolling,0,HOUR,!B263
203,01120,203-01120,Vibratory Rolling,0,HOUR,!B264
203,01125,203-01125,Drop Hammer Compactor,0,HOUR,!B265
203,01140,203-01140,Rolling,0,HOUR,!B266
203,01200,203-01200,Roadway Insulation Material (2 Inch),0,SF,!B267
203,01500,203-01500,Blading,0,HOUR,!B268
203,01510,203-01510,Backhoe,0,HOUR,!B269
203,01515,203-01515,Backhoe (Landscaping),0,HOUR,!B270
203,01520,203-01520,Backhoe (Special),0,EACH,!B271
203,01525,203-01525,Backhoe (Special),0,HOUR,!B272
203,01545,203-01545,Air Compressor (250 CFM),0,HOUR,!B273
203,01547,203-01547,Air Compressor (600 CFM),0,HOUR,!B274
203,01548,203-01548,Pump,0,DAY,!B275
203,01549,203-01549,Pump,0,HOUR,!B276
203,01550,203-01550,Dozing,0,HOUR,!B277
203,01551,203-01551,Dozing (Heavy),0,HOUR,!B278
203,01555,203-01555,Dozing (Landscaping),0,HOUR,!B279
203,01560,203-01560,Scraping,0,HOUR,!B280
203,01565,203-01565,Hydraulic Excavator,0,HOUR,!B281
203,01570,203-01570,Dragline,0,HOUR,!B282
203,01580,203-01580,Truck,0,HOUR,!B283
203,01581,203-01581,Truck (Off Highway End Dump),0,HOUR,!B284
203,01582,203-01582,Truck (Dump),0,HOUR,!B285
203,01583,203-01583,Truck (Tractor),0,HOUR,!B286
203,01584,203-01584,Truck (Water),0,HOUR,!B287
203,01590,203-01590,Front End Loader (Rubber Tire),0,HOUR,!B288
203,01591,203-01591,Front End Loader (Crawler),0,HOUR,!B289
203,01592,203-01592,Front End Loader (Special),0,HOUR,!B290
203,01594,203-01594,Combination Loader,0,HOUR,!B291
203,01596,203-01596,Potholing With Surveying and Stationing of U/G Utilities,0,L S,!B292
203,01597,203-01597,Potholing,10,HOUR,!B293
203,01598,203-01598,Potholing (Special),0,EACH,!B294
203,01600,203-01600,Crane (Crawler),0,HOUR,!B295
203,01610,203-01610,Crane (Rubber Tire),0,HOUR,!B296
203,01615,203-01615,Crane (Scaling),0,HOUR,!B297
203,01620,203-01620,Sweeping,0,HOUR,!B298
203,01622,203-01622,Sweeping (With Pickup Broom),160,HOUR,!B299
203,01625,203-01625,Hydraulic Excavator Scaling,0,HOUR,!B300
203,01700,203-01700,Transport,0,HOUR,!B301
