Bid Item Category,Bid Item Num,Bid Item Number,Bid Item Description,Quantity,UOM,
604,61600,604-61600,60 Inch Reinforced Concrete Pipe Sewer,0,LF,!B3871
604,61660,604-61660,66 Inch Reinforced Concrete Pipe Sewer,0,LF,!B3872
604,61720,604-61720,72 Inch Reinforced Concrete Pipe Sewer,0,LF,!B3873
604,61780,604-61780,78 Inch Reinforced Concrete Pipe Sewer,0,LF,!B3874
604,61840,604-61840,84 Inch Reinforced Concrete Pipe Sewer,0,LF,!B3875
604,62180,604-62180,23x14 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3876
604,62240,604-62240,30x19 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3877
604,62300,604-62300,38x24 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3878
604,62301,604-62301,38x24 Inch Reinforced Concrete Pipe Sewer Elliptical Special,0,LF,!B3879
604,62360,604-62360,45x29 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3880
604,62420,604-62420,53x34 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3881
604,62480,604-62480,60x38 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3882
604,62540,604-62540,68x43 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3883
604,62600,604-62600,76x48 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3884
604,62660,604-62660,83x53 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3885
604,62720,604-62720,91x58 Inch Reinforced Concrete Pipe Sewer Elliptical,0,LF,!B3886
604,67180,604-67180,18 Inch Reinforced Concrete Pipe Sewer (Jacked),0,LF,!B3887
604,67240,604-67240,24 Inch Reinforced Concrete Pipe Sewer (Jacked),0,LF,!B3888
604,67360,604-67360,36 Inch Reinforced Concrete Pipe Sewer (Jacked),0,LF,!B3889
604,67420,604-67420,42 Inch Reinforced Concrete Pipe Sewer (Jacked),0,LF,!B3890
604,67540,604-67540,54 Inch Reinforced Concrete Pipe Sewer (Jacked),0,LF,!B3891
604,67600,604-67600,60 Inch Reinforced Concrete Pipe Sewer (Jacked),0,LF,!B3892
604,67780,604-67780,78 Inch Reinforced Concrete Pipe Sewer (Jacked),0,LF,!B3893
604,70120,604-70120,12 Inch Corrugated Steel Pipe Sewer,0,LF,!B3894
604,70150,604-70150,15 Inch Corrugated Steel Pipe Sewer,0,LF,!B3895
604,70180,604-70180,18 Inch Corrugated Steel Pipe Sewer,0,LF,!B3896
604,70210,604-70210,21 Inch Corrugated Steel Pipe Sewer,0,LF,!B3897
604,70240,604-70240,24 Inch Corrugated Steel Pipe Sewer,0,LF,!B3898
604,70300,604-70300,30 Inch Corrugated Steel Pipe Sewer,0,LF,!B3899
604,70360,604-70360,36 Inch Corrugated Steel Pipe Sewer,0,LF,!B3900
604,70420,604-70420,42 Inch Corrugated Steel Pipe Sewer,0,LF,!B3901
604,70480,604-70480,48 Inch Corrugated Steel Pipe Sewer,0,LF,!B3902
604,70540,604-70540,54 Inch Corrugated Steel Pipe Sewer,0,LF,!B3903
604,70600,604-70600,60 Inch Corrugated Steel Pipe Sewer,0,LF,!B3904
604,71100,604-71100,10 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3905
604,71120,604-71120,12 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3906
604,71150,604-71150,15 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3907
604,71180,604-71180,18 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3908
604,71210,604-71210,21 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3909
604,71240,604-71240,24 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3910
604,71300,604-71300,30 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3911
604,71360,604-71360,36 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3912
604,71420,604-71420,42 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3913
604,71480,604-71480,48 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3914
604,71540,604-71540,54 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3915
604,71600,604-71600,60 Inch Bituminous Coated Corrugated Steel Pipe Sewer,0,LF,!B3916
604,72120,604-72120,12 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3917
604,72150,604-72150,15 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3918
604,72180,604-72180,18 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3919
604,72210,604-72210,21 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3920
604,72240,604-72240,24 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3921
604,72300,604-72300,30 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3922
604,72360,604-72360,36 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3923
604,72420,604-72420,42 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3924
604,72480,604-72480,48 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3925
604,72540,604-72540,54 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3926
604,72600,604-72600,60 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,0,LF,!B3927
604,73180,604-73180,18 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer (Pav,0,LF,!B3928
604,73210,604-73210,21 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer (Pav,0,LF,!B3929
604,81004,604-81004,4 Inch Cast Iron Pipe Sewer,0,LF,!B3930
604,81006,604-81006,6 Inch Cast Iron Pipe Sewer,0,LF,!B3931
604,81008,604-81008,8 Inch Cast Iron Pipe Sewer,0,LF,!B3932
604,81016,604-81016,16 Inch Cast Iron Pipe Sewer,0,LF,!B3933
604,81018,604-81018,18 Inch Cast Iron Pipe Sewer,0,LF,!B3934
604,82006,604-82006,6 Inch Ductile Iron Pipe Sewer,0,LF,!B3935
604,82008,604-82008,8 Inch Ductile Iron Pipe Sewer,0,LF,!B3936
604,82010,604-82010,10 Inch Ductile Iron Pipe Sewer,0,LF,!B3937
604,82012,604-82012,12 Inch Ductile Iron Pipe Sewer,0,LF,!B3938
604,82016,604-82016,16 Inch Ductile Iron Pipe Sewer,0,LF,!B3939
604,82018,604-82018,18 Inch Ductile Iron Pipe Sewer,0,LF,!B3940
604,82024,604-82024,24 Inch Ductile Iron Pipe Sewer,0,LF,!B3941
604,82030,604-82030,30 Inch Ductile Iron Pipe Sewer,0,LF,!B3942
604,82036,604-82036,36 Inch Ductile Iron Pipe Sewer,0,LF,!B3943
604,83002,604-83002,2 Inch Plastic Pipe Sewer (Polyethylene),0,LF,!B3944
604,83101,604-83101,1 1/2 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3945
604,83102,604-83102,2 Inch Plastic Pipe Sewer (Polyvinylchloride),0,LF,!B3946
604,83103,604-83103,3 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3947
604,83104,604-83104,4 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3948
604,83106,604-83106,6 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3949
604,83108,604-83108,8 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3950
604,83110,604-83110,10 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3951
604,83112,604-83112,12 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3952
604,83115,604-83115,15 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3953
604,83118,604-83118,18 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3954
604,83121,604-83121,21 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3955
604,83124,604-83124,24 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3956
604,83127,604-83127,27 Inch Plastic Pipe Sewer (Polyvinyl Chloride),0,LF,!B3957
604,84000,604-84000,Plastic Sliplining,0,LF,!B3958
604,85000,604-85000,Fiberglass Reinforced Plastic Walkway,0,SF,!B3959
605,00004,605-00004,4 Inch Non-Perforated Pipe Underdrain,0,LF,!B3960
605,00006,605-00006,6 Inch Non-Perforated Pipe Underdrain,0,LF,!B3961
605,00008,605-00008,8 Inch Non-Perforated Pipe Underdrain,0,LF,!B3962
605,00012,605-00012,12 Inch Non-Perforated Pipe Underdrain,0,LF,!B3963
605,00020,605-00020,2 Inch Perforated Pipe Underdrain,0,LF,!B3964
605,00040,605-00040,4 Inch Perforated Pipe Underdrain,0,LF,!B3965
605,00041,605-00041,4 Inch Perforated Pipe Underdrain (Special),0,LF,!B3966
605,00060,605-00060,6 Inch Perforated Pipe Underdrain,0,LF,!B3967
605,00061,605-00061,6 Inch Perforated Pipe Underdrain (Special),0,LF,!B3968
605,00080,605-00080,8 Inch Perforated Pipe Underdrain,0,LF,!B3969
605,00081,605-00081,8 Inch Perforated Pipe Underdrain (Special),0,LF,!B3970
605,00090,605-00090,12 Inch Perforated Pipe Underdrain,0,LF,!B3971
605,00100,605-00100,10 Inch Perforated Pipe Underdrain,0,LF,!B3972
605,00106,605-00106,6 Inch Perforated Corrugated Steel Pipe,0,LF,!B3973
605,00108,605-00108,8 Inch Perforated Corrugated Steel Pipe,0,LF,!B3974
605,00110,605-00110,10 Inch Perforated Corrugated Steel Pipe,0,LF,!B3975
605,00112,605-00112,12 Inch Perforated Corrugated Steel Pipe,0,LF,!B3976
605,00118,605-00118,18 Inch Perforated Corrugated Steel Pipe,0,LF,!B3977
605,00120,605-00120,12 Inch Perforated Pipe Underdrain,0,LF,!B3978
605,00124,605-00124,24 Inch Perforated Corrugated Steel Pipe,0,LF,!B3979
605,00148,605-00148,48 Inch Perforated Corrugated Steel Pipe,0,LF,!B3980
605,00180,605-00180,18 Inch Perforated Pipe Underdrain,0,LF,!B3981
605,00206,605-00206,6 Inch Non-Perforated Corrugated Steel Pipe,0,LF,!B3982
605,00208,605-00208,8 Inch Non-Perforated Corrugated Steel Pipe,0,LF,!B3983
605,00212,605-00212,12 Inch Non-Perforated Corrugated Steel Pipe,0,LF,!B3984
605,00218,605-00218,18 Inch Non-Perforated Corrugated Steel Pipe,0,LF,!B3985
605,00224,605-00224,24 Inch Non-Perforated Corrugated Steel Pipe,0,LF,!B3986
605,00240,605-00240,24 Inch Perforated Pipe Underdrain,0,LF,!B3987
605,00306,605-00306,6 Inch Bituminous Coated Perforated Corrugated Steel Pipe,0,LF,!B3988
605,00308,605-00308,8 Inch Bituminous Coated Perforated Corrugated Steel Pipe,0,LF,!B3989
605,00312,605-00312,12 Inch Bituminous Coated Perforated Corrugated Steel Pipe,0,LF,!B3990
605,00406,605-00406,6 Inch Bituminous Coated Non-Perforated Corrugated Steel Pip,0,LF,!B3991
605,00408,605-00408,8 Inch Bituminous Coated Non-Perforated Corrugated Steel Pip,0,LF,!B3992
605,00412,605-00412,12 Inch Bituminous Coated Non-Perforated Corrugated Steel Pi,0,LF,!B3993
605,01020,605-01020,2 Inch Horizontal Drain,0,LF,!B3994
605,01030,605-01030,3 Inch Horizontal Drain,0,LF,!B3995
605,11060,605-11060,6 Inch Perforated Corrugated Aluminum Pipe,0,LF,!B3996
605,11080,605-11080,8 Inch Perforated Corrugated Aluminum Pipe,0,LF,!B3997
605,11120,605-11120,12 Inch Perforated Corrugated Aluminum Pipe,0,LF,!B3998
605,12060,605-12060,6 Inch Non-Perforated Corrugated Aluminum Pipe,0,LF,!B3999
605,12080,605-12080,8 Inch Non-Perforated Corrugated Aluminum Pipe,0,LF,!B4000
605,12120,605-12120,12 Inch Non-Perforated Corrugated Aluminum Pipe,0,LF,!B4001
605,13040,605-13040,4 Inch Perforated Corrugated Plastic Pipe,0,LF,!B4002
605,13060,605-13060,6 Inch Perforated Corrugated Plastic Pipe,0,LF,!B4003
605,13080,605-13080,8 Inch Perforated Corrugated Plastic Pipe,0,LF,!B4004
605,13100,605-13100,10 Inch Perforated Corrugated Plastic Pipe,0,LF,!B4005
605,13120,605-13120,12 Inch Perforated Corrugated Plastic Pipe,0,LF,!B4006
605,14040,605-14040,4 Inch Non-Perforated Corrugated Plastic Pipe,0,LF,!B4007
605,14060,605-14060,6 Inch Non-Perforated Corrugated Plastic Pipe,0,LF,!B4008
605,14080,605-14080,8 Inch Non-Perforated Corrugated Plastic Pipe,0,LF,!B4009
605,14100,605-14100,10 Inch Non-Perforated Corrugated Plastic Pipe,0,LF,!B4010
605,14120,605-14120,12 Inch Non-Perforated Corrugated Plastic Pipe,0,LF,!B4011
605,14150,605-14150,15 Inch Non-Perforated Corrugated Plastic Pipe,0,LF,!B4012
605,16500,605-16500,Landslide Underdrain,0,LF,!B4013
605,17000,605-17000,Vertical Drainage Wick,0,LF,!B4014
605,18000,605-18000,"Strip Drain, Horizontal",0,LF,!B4015
605,19000,605-19000,Passive Vent Riser,0,EACH,!B4016
605,19200,605-19200,Low Permeability Soil Collar,0,EACH,!B4017
605,20100,605-20100,Formation Drain,0,LF,!B4018
605,50000,605-50000,Place Pipe Underdrain,0,LF,!B4019
605,80024,605-80024,3 Inch Perforated Plastic Pipe (Polyvinyl Chloride),0,LF,!B4020
605,80032,605-80032,4 Inch Perforated Plastic Pipe (Polyvinyl Chloride),0,LF,!B4021
605,80048,605-80048,6 Inch Perforated Plastic Pipe (Polyvinyl Chloride),0,LF,!B4022
605,80064,605-80064,8 Inch Perforated Plastic Pipe (Polyvinyl Chloride),0,LF,!B4023
605,80096,605-80096,12 Inch Perforated Plastic Pipe (Polyvinyl Chloride),0,LF,!B4024
605,80144,605-80144,18 Inch Perforated Plastic Pipe (Polyvinyl Chloride),0,LF,!B4025
605,80192,605-80192,24 Inch Perforated Plastic Pipe (Polyvinyl Chloride),0,LF,!B4026
605,81032,605-81032,4 Inch Plastic Pipe (Polyvinyl Chloride),0,LF,!B4027
605,81048,605-81048,6 Inch Plastic Pipe (Polyvinyl Chloride),0,LF,!B4028
605,82000,605-82000,Geocomposite Edge Drain,0,LF,!B4029
605,82100,605-82100,Pipe Edge Drain,0,LF,!B4030
605,82200,605-82200,French Drain,0,LF,!B4031
605,82306,605-82306,6 Inch Drain Pipe,0,LF,!B4032
605,83000,605-83000,Geocomposite Drain,0,SY,!B4033
605,83001,605-83001,Geocomposite Drain without Pipe,0,SY,!B4034
605,83002,605-83002,Geocomposite Drain with Pipe,0,SY,!B4035
605,83010,605-83010,Geocomposite Drain,0,SF,!B4036
605,83500,605-83500,Geocomposite Underdrain,0,LF,!B4037
605,83501,605-83501,Geocomposite Drain (Tunnel),0,SY,!B4038
605,83505,605-83505,Formation Drain,0,LF,!B4039
605,83560,605-83560,6 Inch Pipe Underdrain,0,LF,!B4040
605,83580,605-83580,8 Inch Pipe Underdrain,0,LF,!B4041
605,84000,605-84000,Subsurface Drain Outlet,0,LF,!B4042
605,84100,605-84100,Subsurface Drain Outlet Structure,0,EACH,!B4043
605,85000,605-85000,Surface Sand Filter,0,SF,!B4044
606,00300,606-00300,Wood Curb,0,LF,!B4045
606,00301,606-00301,Guardrail Type 3 (6-3 Post Spacing),0,LF,!B4046
606,00302,606-00302,Guardrail Type 3 (31 Inch Midwest Guardrail System),0,LF,!B4047
606,00305,606-00305,Guardrail Type 3 (Special),0,LF,!B4048
606,00310,606-00310,Guardrail Type 3A,0,LF,!B4049
606,00315,606-00315,Guardrail Type 3A (Special),0,LF,!B4050
606,00350,606-00350,Guardrail Type 3 (Double) (6-3 Post Spacing),0,LF,!B4051
606,00355,606-00355,Guardrail Type 3 (Double)(6-3 Post Spacing)(Special),0,LF,!B4052
606,00360,606-00360,Guardrail Type 3A (Double),0,LF,!B4053
606,00365,606-00365,Guardrail Type 3 (Special) (Furnish Only),0,LF,!B4054
606,00400,606-00400,Guardrail Type 4,0,LF,!B4055
606,00401,606-00401,Guardrail Type 4 (Install Only),0,LF,!B4056
606,00405,606-00405,Guardrail Type 4 (Special),0,LF,!B4057
606,00410,606-00410,Guardrail Type 4 (Tunnel),0,LF,!B4058
606,00420,606-00420,Guardrail Type 4 (Style CA),0,LF,!B4059
606,00425,606-00425,Guardrail Type 4 (Style CA) (Special),0,LF,!B4060
606,00435,606-00435,Guardrail Type 4 (Style CC),0,LF,!B4061
606,00436,606-00436,Guardrail Type 4 (Style CC-HOV),0,M,!B4062
606,00437,606-00437,Guardrail Type 4 (Style CC-HOV) (Special),0,LF,!B4063
606,00438,606-00438,Guardrail Type 4 (Style CC) (Special),0,LF,!B4064
606,00440,606-00440,Guardrail Type 4 (Style CD),0,LF,!B4065
606,00445,606-00445,Guardrail Type 4 (Style CD) (Special),0,LF,!B4066
606,00447,606-00447,Guardrail Type 4 (Style CD-HOV) (Special),0,LF,!B4067
606,00450,606-00450,Guardrail Type 4 (Style CE),0,LF,!B4068
606,00455,606-00455,Guardrail Type 4 (Style CE) (Special),0,LF,!B4069
606,00456,606-00456,Guardrail Type 4 (Style CE) (Special) (Sound Barrier),0,LF,!B4070
606,00457,606-00457,Guardrail Type 4 (Style CE-HOV) (Special),0,LF,!B4071
606,00460,606-00460,Guardrail Type 4 (Colored),0,M,!B4072
606,00462,606-00462,Guardrail Type 4A (Precast-Portable),0,LF,!B4073
606,00465,606-00465,Guardrail Type 4 (Precast-Portable),0,LF,!B4074
606,00470,606-00470,Guardrail Type 4 (Precast-Portable) (Colored),0,LF,!B4075
606,00480,606-00480,Guardrail Type 4 (Style CL),0,LF,!B4076
606,00487,606-00487,Guardrail Type 4 (Style CL-HOV) (Special),0,LF,!B4077
606,00490,606-00490,Guardrail Type 4C,0,LF,!B4078
606,00500,606-00500,Guardrail Type 4 (Continuous Slope) (1 Sided),0,LF,!B4079
606,00501,606-00501,Precast Guardrail (Install Only),0,LF,!B4080
606,00505,606-00505,Guardrail Type 4 (Continuous Slope) (2 Sided),0,LF,!B4081
606,00550,606-00550,Guardrail Type 4 (Style F),0,LF,!B4082
606,00601,606-00601,Guardrail Type 6 (6-3 Post Spacing),0,LF,!B4083
606,00650,606-00650,Guardrail Type 6 (Double) (6-3 Post Spacing),0,LF,!B4084
606,00700,606-00700,Guardrail Type 7,0,LF,!B4085
606,00701,606-00701,Guardrail (Cable),0,LF,!B4086
606,00705,606-00705,Guardrail Type 7 (Special),0,LF,!B4087
606,00710,606-00710,Guardrail Type 7 (Style CA),0,LF,!B4088
606,00715,606-00715,Guardrail Type 7 (Style CA)(Concrete Glare Screen),0,LF,!B4089
606,00716,606-00716,Guardrail Type 7 (Style CA) (Special),0,LF,!B4090
606,00717,606-00717,Guardrail Type 7 (Style CA)(Concrete Glare Screen)(Special),0,LF,!B4091
606,00720,606-00720,Guardrail Type 7 (Style CC),0,LF,!B4092
606,00721,606-00721,Guardrail Type 7 (Style CC) (Special),0,LF,!B4093
606,00725,606-00725,Guardrail Type 7 (Style CC)(Concrete Glare Screen),0,LF,!B4094
606,00726,606-00726,Guardrail Type 7 (Style CC-HOV),0,LF,!B4095
606,00730,606-00730,Guardrail Type 7 (Style CD),0,LF,!B4096
606,00731,606-00731,Guardrail Type 7 (Style CD) (Special),0,LF,!B4097
606,00735,606-00735,Guardrail Type 7 (Style CD)(Concrete Glare Screen),0,LF,!B4098
606,00737,606-00737,Guardrail Type 7 (Style CD)(Concrete Glare Screen) (Special),0,LF,!B4099
606,00739,606-00739,Guardrail Type 7 (Style CC-HOV) (Special),0,LF,!B4100
606,00740,606-00740,Guardrail Type 7 (Style CE),0,LF,!B4101
606,00741,606-00741,Guardrail Type 7 (Style CE) (Special),0,LF,!B4102
606,00745,606-00745,Guardrail Type 7 (Style CE)(Concrete Glare Screen),0,LF,!B4103
606,00747,606-00747,Guardrail Type 7 (Style CD-HOV) (Special),0,LF,!B4104
606,00750,606-00750,Guardrail Type 7 (Style CL),0,LF,!B4105
606,00755,606-00755,Concrete Glare Screen (Precast Type 7),0,LF,!B4106
606,00787,606-00787,Guardrail Type 7 (Style CL-HOV) (Special),0,LF,!B4107
606,00800,606-00800,Guardrail Type 7 (F-Shape Concrete Barrier),0,LF,!B4108
606,00900,606-00900,Guardrail (Special),0,LF,!B4109
606,01310,606-01310,End Anchorage Type 3A,0,EACH,!B4110
606,01320,606-01320,End Anchorage Type 3B,0,EACH,!B4111
606,01330,606-01330,End Anchorage Type 3C,0,EACH,!B4112
606,01340,606-01340,End Anchorage Type 3D,0,EACH,!B4113
606,01350,606-01350,End Anchorage Type 3E,0,EACH,!B4114
606,01360,606-01360,End Anchorage Type 3F,0,EACH,!B4115
606,01370,606-01370,Transition Type 3G,0,EACH,!B4116
606,01371,606-01371,Transition Type 3G (Special),0,EACH,!B4117
606,01380,606-01380,Transition Type 3H,0,EACH,!B4118
606,01381,606-01381,Transition Type 3H (Special),0,EACH,!B4119
606,01385,606-01385,Transition Type 3J,0,EACH,!B4120
606,01387,606-01387,End Anchorage Type 3B (31 Inch Midwest Guardrail System),0,EACH,!B4121
606,01390,606-01390,End Anchorage Type 3K,0,EACH,!B4122
606,01395,606-01395,Transition Type 3L,0,EACH,!B4123
606,01400,606-01400,End Anchorage Type 3M,0,EACH,!B4124
606,01410,606-01410,End Anchorage (Cable),0,EACH,!B4125
606,01460,606-01460,Median Terminal,0,EACH,!B4126
606,01500,606-01500,End Anchorage (Brakemaster),0,EACH,!B4127
606,02000,606-02000,End Anchorage (Special),0,EACH,!B4128
606,02001,606-02001,End Anchorage (Slotted Rail Terminal),0,EACH,!B4129
606,02002,606-02002,End Anchorage (ET-2000),0,EACH,!B4130
606,02003,606-02003,End Anchorage (Nonflared),0,EACH,!B4131
606,02005,606-02005,End Anchorage (Flared),0,EACH,!B4132
606,02007,606-02007,End Anchorage (Flared) (Special),0,EACH,!B4133
606,08300,606-08300,Place Guardrail Type 3,0,LF,!B4134
606,08310,606-08310,Place Guardrail Type 3A,0,LF,!B4135
606,10200,606-10200,Bridge Rail (Special),0,LF,!B4136
606,10300,606-10300,Bridge Rail Type 3,0,LF,!B4137
606,10305,606-10305,Bridge Rail Type 3 (Special),0,LF,!B4138
606,10325,606-10325,Bridge Rail Type 3,0,LF,!B4139
606,10350,606-10350,Bridge Rail Type 3R,0,LF,!B4140
606,10360,606-10360,Bridge Rail Type 3R (Special),0,LF,!B4141
606,10400,606-10400,Bridge Rail Type 4,0,LF,!B4142
606,10405,606-10405,Bridge Rail Type 4 (Special),0,LF,!B4143
606,10420,606-10420,Bridge Rail Type 4 (Section A),0,LF,!B4144
606,10421,606-10421,Bridge Rail Type 4 (Section B),0,LF,!B4145
606,10450,606-10450,Bridge Rail Type 4R,0,LF,!B4146
606,10500,606-10500,Bridge Rail Type 4 (Continuous Slope),0,LF,!B4147
606,10650,606-10650,Bridge Rail Type T6,0,LF,!B4148
606,10700,606-10700,Bridge Rail Type 7,0,LF,!B4149
606,10705,606-10705,Bridge Rail Type 7 (Special),0,LF,!B4150
606,10720,606-10720,Bridge Rail Type 7 (Section A),0,LF,!B4151
606,10742,606-10742,"Bridge Rail Type 7 (42"")",0,LF,!B4152
606,10750,606-10750,Bridge Rail Type 7R,0,LF,!B4153
606,10755,606-10755,Bridge Rail Type 7R (Special),0,LF,!B4154
606,10800,606-10800,Bridge Rail Type 8,0,LF,!B4155
606,10805,606-10805,Bridge Rail Type 8 (Special),0,LF,!B4156
606,10950,606-10950,Bridge Rail Type 9R,0,LF,!B4157
606,11000,606-11000,Bridge Rail Type 10,0,LF,!B4158
606,11005,606-11005,Bridge Rail Type 10 (Special),0,LF,!B4159
606,11010,606-11010,Bridge Rail Type 10R,0,LF,!B4160
606,11011,606-11011,Bridge Rail Type 10R (Install Only),0,LF,!B4161
606,11015,606-11015,Bridge Rail Type 10R (Special),0,LF,!B4162
606,11020,606-11020,Bridge Rail Type 10H,0,LF,!B4163
606,11025,606-11025,Bridge Rail Type 10H (Special),0,LF,!B4164
606,11030,606-11030,Bridge Rail Type 10M,0,LF,!B4165
606,11032,606-11032,Bridge Rail Type 10M (Special),0,LF,!B4166
606,11033,606-11033,Bridge Rail Type 10M(Special)(Install Only),0,LF,!B4167
606,11035,606-11035,Bridge Rail Type 10MR,0,LF,!B4168
606,11900,606-11900,Bridge Rail Post,0,EACH,!B4169
606,20000,606-20000,Wire Rope Safety Fence,0,LF,!B4170
606,20010,606-20010,Tensioned Cable Barrier,0,LF,!B4171
606,20013,606-20013,Tensioned Cable Barrier (TL-3),0,LF,!B4172
606,20014,606-20014,Tensioned Cable Barrier (TL-4),0,LF,!B4173
606,20015,606-20015,Tensioned Cable Barrier (TL-3)(Special),0,LF,!B4174
606,21000,606-21000,Wire Rope End Anchorage,0,EACH,!B4175
606,21010,606-21010,End Anchorage (Tensioned Cable Barrier),0,EACH,!B4176
606,32405,606-32405,Light Standard Steel (40 Foot) (2 Arm),0,EACH,!B4177
606,40400,606-40400,Structural Concrete Stain,0,SY,!B4178
606,99998,606-99998,Guardrail (Special),0,SF,!B4179
606,99999,606-99999,Guardrail Type 7 (Precast),0,LF,!B4180
607,00000,607-00000,Line Post,0,EACH,!B4181
607,00005,607-00005,End Post,0,EACH,!B4182
607,00006,607-00006,End Post (Tubing),0,EACH,!B4183
607,00010,607-00010,Corner and Line Brace Post,0,EACH,!B4184
607,00011,607-00011,Corner and Line Brace Post (Tubing),0,EACH,!B4185
607,00015,607-00015,End Post (Special),0,EACH,!B4186
607,00020,607-00020,Corner and Line Brace Post (Special),0,EACH,!B4187
607,00030,607-00030,Brace Post (Special),0,EACH,!B4188
607,01000,607-01000,Fence Barbed Wire with Metal Posts,0,LF,!B4189
607,01010,607-01010,Fence Barbed Wire with Metal Posts (Special),0,LF,!B4190
607,01025,607-01025,Install Fence,0,LF,!B4191
607,01030,607-01030,Fence (Furnish Only),0,LF,!B4192
607,01050,607-01050,Fence Wire With Metal Posts,0,LF,!B4193
607,01055,607-01055,Fence Wire With Treated Wooden Posts,0,LF,!B4194
607,01100,607-01100,Fence Barbed Wire With Treated Wooden Posts,0,LF,!B4195
607,01110,607-01110,Fence Barbed Wire With Treated Wooden Posts (Special),0,LF,!B4196
607,11200,607-11200,Fence Combination Wire With Metal Posts,0,LF,!B4197
607,11210,607-11210,Fence Combination Wire With Tubing Posts,0,LF,!B4198
607,11220,607-11220,Fence Combination Wire With Metal Posts (Special),0,LF,!B4199
607,11300,607-11300,Fence Combination Wire With Treated Wooden Posts,0,LF,!B4200
607,11310,607-11310,Fence Combination Wire With Treated Wooden Posts (Special),0,LF,!B4201
607,11350,607-11350,Fence Deer,0,LF,!B4202
607,11352,607-11352,Fence Deer (Wire Mesh),0,LF,!B4203
607,11354,607-11354,Fence Deer (Wooden Stays),0,LF,!B4204
607,11360,607-11360,Fence Deer (Special),0,LF,!B4205
607,11400,607-11400,Fence Picket,0,LF,!B4206
607,11450,607-11450,Fence Split Cedar,0,LF,!B4207
607,11455,607-11455,Fence Wood,0,LF,!B4208
607,11460,607-11460,Fence Wood Railing,0,LF,!B4209
607,11500,607-11500,Fence Stockade,0,LF,!B4210
607,11525,607-11525,Fence (Plastic),190,LF,!B4211
607,11530,607-11530,Fence (Special),0,LF,!B4212
607,11550,607-11550,Screen Wall,0,LF,!B4213
607,11560,607-11560,Debris Barrier,0,SF,!B4214
607,11570,607-11570,Silt Fence,0,LF,!B4215
607,11575,607-11575,Rock Fall Fence,0,LF,!B4216
607,11576,607-11576,Temporary Rockfall Containment System,0,L S,!B4217
